id;worker_id;user_id;status;deadline;address;creation_date;rate
37bb0467-7f23-4693-b4ef-fba1eedbd901;92bacc26-e99d-440c-b53b-9fcd1f284b88;fd8fc5dd-c51d-4afd-8c25-b856e3df68d3;4;2024-04-04;92140 Adams Lodge Apt. 087 Lake Katiemouth, SC 20545;2024-03-28;0
ade6fd56-c6c7-42ee-9719-d19f7f770489;67e77643-215a-4f51-bbc7-7d2fad680f70;8f15bb0e-5630-4eaa-962e-d0dfa01a4935;4;2024-01-12;9931 Lisa Flats Amyberg, AK 48337;2024-01-05;0
542d39f7-e88b-4609-b933-0a65ee415110;b055642e-6f41-4c0a-bd1f-2357364a8e4e;3e519355-0f7a-4966-8a40-18906723bac2;3;2024-03-09;PSC 8462, Box 6124 APO AP 90701;2024-02-24;3
58f3fa63-96f9-492b-9ddb-65e503c2eafe;b85b2dee-1c72-4d25-8831-d7d7f44cd98b;d15f9ffb-aada-4e1c-87cb-7b0c88b5d7b0;4;2024-02-12;352 Jonathan Inlet Apt. 038 West Courtney, MH 89063;2024-01-15;0
88e5e205-84af-4b4c-a003-db34448fe4d8;45792e21-dd43-4bb9-9300-a91cb69b5fc9;21f3bd93-85dd-4d2c-afe2-e7cc4df78ccb;4;2024-02-03;5863 Ramirez Wells Apt. 920 South John, NC 49013;2024-01-13;0
310c8063-20e0-4a09-9faa-6959f412ba72;35900a6a-be80-4c1d-ac6b-f2ca91da9527;1663ff92-77ae-4a5b-9d34-28b1814a3a3d;3;2024-04-24;6108 Laura Extensions South Paulfurt, FL 53186;2024-04-10;5
b7dcebdc-6b28-47ff-bc9e-e132e318a1fd;aaa17e3d-8337-44f7-8cbd-f0255e0b471d;6a17a78a-b0da-4c04-8c3e-b969415b409c;4;2024-01-26;77580 Johnson Oval Apt. 908 South Karenville, MT 73138;2024-01-19;0
7641a889-abaa-4b68-9116-82b1b20c3c49;0ecb922e-a6c0-465b-b08a-4f31131a2668;a72f6d4d-9762-4bba-a7a8-a4ffc2758982;3;2024-02-28;1988 Heather Forges Apt. 136 West Denisemouth, SC 80580;2024-01-31;2
0f5ed151-302e-4e65-80d7-291b95590e85;72262842-62e4-48a3-a350-cdfd3bff9d8a;ef7beef8-2b97-4db8-9423-eae6aac96334;1;2024-05-04;2931 Craig Track Apt. 548 Lake Cynthiaberg, RI 39023;2024-04-13;0
faff158a-0b46-49ed-85a6-c2ce2a9580d8;d6c89a47-0dd0-47fb-9d77-e007932f58ab;c571827a-2a85-4603-84f5-0c78c7850b41;2;2024-05-03;47699 Harrison Drive Scottside, NM 26584;2024-04-12;0
df95e5d1-ecd8-49a2-b2fe-b387cc9f0e1a;fe604475-637e-4a22-b7fe-22d70f8cb635;36fc0f1b-fad8-4dc6-9dfc-a335b711eb24;3;2024-04-08;87534 Simon Stravenue Kimberlyhaven, PW 10457;2024-03-18;1
a1629c6b-d4ec-4bbf-b4a0-260d72479b0f;b15b7697-8e9c-4020-8e47-69afaffe4086;99c76975-ad80-4b4b-9ac5-780fdfda01fb;2;2024-04-21;2501 Mclaughlin Lakes New Teresa, PR 90253;2024-04-14;0
02f86889-678e-4200-a8d1-3ff086ac66bf;03477df7-d20f-4b08-97b5-2419f6d8ba16;df6beade-3414-41d2-863f-3ad19bbd2043;3;2024-02-27;632 Serrano Station Suite 354 New Misty, IL 13187;2024-02-06;3
8b5581ce-05c9-4278-93d1-8afbc71970ed;cd2b0229-f622-4e84-b1c8-4c28248e9853;99c76975-ad80-4b4b-9ac5-780fdfda01fb;3;2024-01-25;081 Graham Green Apt. 924 Lake Jordanburgh, NE 43924;2024-01-18;5
